ID,Count_0,Count_1,Count_2,Count_3,Count_4,Actual Sentiment,Outlier,
kv9F-NJLhLU,21,3,0,4,2,3,,0
DuigyQQYG5M,17,2,4,4,3,3,,
mE2G-t-i1F0,22,1,0,6,1,3,,
M2101AvCGd8,16,3,0,1,10,4,,
fa0EHv2b-DE,9,5,2,12,2,3,,
-Vz2NYd200I,22,7,0,1,0,3,,
Ib5RLNcVtY0,19,3,1,3,3,3,,
36BPzxvYazk,21,3,1,4,1,3,,
-sM8Jrcbxdc,15,2,1,4,8,3,,
16op1FeUX1A,25,1,2,2,0,3,,
K1R4hHq8yr4,20,1,2,7,0,3,,
v3bWb5qZMu8,25,1,1,3,0,3,,
ADJE5gat_W8,10,9,0,2,9,4,,
f-3Bldu8BJ4,8,3,0,0,19,4,,
EOO8TwyVFYI,10,4,0,2,14,4,,
ALw553euzsc,10,3,0,0,17,4,,
j1VL-y9JHuI,18,1,1,2,8,4,,
qz7s-jq7HXk,13,7,3,1,6,4,,
kVhe2h-38ok,11,10,0,1,8,4,,
CneUk74xavY,14,8,1,0,7,4,,
gvXnmhDRdt8,15,5,0,1,9,4,,
Xi3P8vUveVQ,16,5,0,0,9,4,,
nlOF6YhAoJQ,14,2,0,0,14,4,,
PdVaT8ye0gI,23,6,0,0,1,4,,
s_M1t0HE-Kk,10,9,0,2,9,4,,
Fa1auhluqM4,10,5,0,0,15,4,,
yWeMWD-Yagg,17,3,9,0,1,2,,
ZE5ddEN5Nbk,22,4,4,0,0,2,,
7OsEWB35fPE,23,6,1,0,0,2,,
Nxn6aFylZgA,23,4,0,1,2,2,,
DvkYRhu-TP0,22,4,3,0,1,2,,
1QQDgtTUlNw,22,0,8,0,0,2,,
51NIQ0xx4aA,12,5,9,0,4,2,,
UR3v87LrKmE,23,5,2,0,0,2,,
7mT8El4mBVw,13,7,9,0,1,2,,
913R1ZSQZzQ,20,5,2,1,2,1,,
SBWkAHAjXWo,19,9,1,1,0,1,,
4pFUP0HZwWM,19,6,0,0,5,1,,
d017jvDGYrA,24,5,1,0,0,1,,
OA3Txp94pjs,19,9,0,0,2,1,,
cMw0u3gA7d0,24,3,2,0,1,1,,
YvPerZLPnm4,19,9,1,0,1,1,,
bSMxl1V8FSg,20,6,0,0,4,1,,
m6SbrIvATYw,21,4,2,2,1,1,,
3TmzG_fqqU8,24,6,0,0,0,1,,
y4H47Npqebc,22,2,5,0,1,2,,
M38oYGbQAVM,9,1,20,0,0,2,,
dU4lYcN6zEY,20,2,7,0,1,2,,
7mT8El4mBVw,13,7,9,0,1,1,,
_8w9rOpV3gc,17,13,0,0,0,1,,
xBasQG_6p40,20,8,2,0,0,1,,
187trX0mo1o,22,5,1,0,2,1,,
qLGNj-xrgvY,23,2,4,1,0,1,,
t2VGpqq2-I8,14,12,1,0,3,1,,
kurY9aSolo0,22,6,1,0,1,1,,
_qW9wqUI4Lg,18,6,3,0,3,1,,
ImEnWAVRLU0,22,6,1,0,1,1,,
7Xe2yhUJfHY,15,11,3,1,0,2,,
yL9rSwrsMHw,14,7,8,1,0,2,,
XMt98-MEWmw,23,2,5,0,0,2,,
csvOWBDx1oM,18,7,3,0,2,2,,
D7MMjSbmiYs,17,3,9,0,1,2,,
3JxR13cLxU8,24,2,3,0,1,2,,
SOjtOfE42ys,23,6,1,0,0,2,,
pTXhmv1pjcw,11,6,12,0,1,2,,
sfB5GwdT5v0,20,3,1,6,0,3,,
e3mwmwPhr08,24,3,1,2,0,3,,
WOwAOAN_UQ8,18,3,1,5,3,3,,
CMbI7DmLCNI,20,3,0,7,0,3,,
9blcWYHjrEo,22,2,1,5,0,3,,
fa0EHv2b-DE,9,5,2,12,2,3,,
4f3hG-5grlw,27,2,0,1,0,3,,
CiXVqxqDPoA,15,6,5,1,3,3,,
ZQht2yOX9Js,13,8,0,1,8,4,,
pDj1GM3RRWs,10,5,2,0,13,4,,
PI4Mv8R0mE0,18,2,0,0,10,4,,
ybsyQaIr1nw,12,10,0,0,8,4,,
t8ahsNLNEBg,10,4,0,0,16,4,,
C0KLb_v50-k,21,2,0,0,7,4,,
nFvASiMTDz0,16,6,0,0,8,4,,
EOO8TwyVFYI,10,4,0,2,14,4,,
iMPWx1v7ioM,15,11,0,0,4,1,,
Zpa1Xg2wvSY,17,9,2,0,2,1,,
jhxRqeWMZzs,15,9,1,0,5,1,,
RLuCBph9FkQ,18,9,0,0,3,1,,
2EN-lG0Ho4U,14,13,1,0,2,1,,
tihmB8lDNHI,17,4,7,0,2,2,,
rI1qLGgVqw0,22,0,7,0,1,2,,
BEWTL5ULvSU,23,1,4,0,2,2,,
rXaENvEzKTY,13,9,6,0,2,2,,
4IfRgovQGtk,19,4,6,1,0,2,,
vh7_WKODlE8,18,5,0,3,4,3,,
HAqBh5KDFgQ,21,1,0,7,1,3,,
H9InaUJm0A8,26,2,0,2,0,3,,
fcSSR0oFqiA,22,4,1,3,0,3,,
IfgesY42oN8,17,1,0,11,1,3,,
ECjYsWLgy3I,16,4,1,0,9,4,,
EBnn_Y29Pks,12,6,0,0,12,4,,
CZsIxEnN0k0,8,2,0,1,19,4,,
O_yVo3YOfqQ,10,0,1,0,19,4,,
ofnCdC8P70g,14,4,1,0,11,4,,